metric,ka_cal_BP,r,p
width,ka_cal_BP,0.005971836790621639,0.9226281935780667
length,ka_cal_BP,-0.07103305030900045,0.2473926499025119
l_w_index,ka_cal_BP,-0.22470311475601987,0.0002139880468874994
area,ka_cal_BP,-0.01032644905816147,0.8666238901241347
percent_area,ka_cal_BP,0.12408314445958148,0.04277931980924688
contour_length,ka_cal_BP,-0.06405794385155525,0.2970057541676281
area_contour_ratio,ka_cal_BP,-0.008479305402821238,0.8903151724241206
position_longest_extend,ka_cal_BP,0.013174825133305116,0.8303305213310603
position_widest_extend,ka_cal_BP,0.07213036590641153,0.24014649362792673
length_lower_part,ka_cal_BP,-0.02119153076272751,0.7303300302444639
relative_length_lower_part,ka_cal_BP,0.12408903142763401,0.042769391710459397
length_upper_part,ka_cal_BP,-0.08700916890255118,0.1562605038775268
relative_length_upper_part,ka_cal_BP,-0.11203689547094926,0.06756941430121874
upper_to_lower_ratio,ka_cal_BP,-0.087426700968702,0.15427554588293743
width_left_part,ka_cal_BP,0.020002378823738058,0.7449232657276542
relative_width_left_part,ka_cal_BP,-0.004672224092931614,0.9394294459515681
width_right_part,ka_cal_BP,-0.01880679109637632,0.7596878279180937
relative_width_right_part,ka_cal_BP,-0.03410323458033672,0.5790325843133515
left_to_right_ratio,ka_cal_BP,0.11040578168275975,0.07168851902410331
tip_angle,ka_cal_BP,0.18609029854224252,0.0022642464907652107
MP_CM_x_offset,ka_cal_BP,0.09546941099672385,0.1196556565698143
MP_CM_y_offset,ka_cal_BP,0.01957511565355471,0.7501892521017911
FD,ka_cal_BP,0.020898546753341567,0.733916752161738
