site,width,length,l_w_index,area,percent_area,contour_length,area_contour_ratio,position_longest_extend,position_widest_extend,length_lower_part,relative_length_lower_part,length_upper_part,relative_length_upper_part,upper_to_lower_ratio,width_left_part,relative_width_left_part,width_right_part,relative_width_right_part,left_to_right_ratio,tip_angle,MP_CM_x_offset,MP_CM_y_offset,FD
AggsbachB,7.3076923076923075,34.84615384615385,4.8,216.69230769230768,76.15384615384616,83.07692307692308,252.84615384615384,3.3846153846153846,2.4615384615384617,14.384615384615385,39.92307692307692,21.069230769230767,61.0,1.9769230769230768,4.3,58.61538461538461,3.423076923076923,46.46153846153846,1.2999999999999998,52.23076923076923,0.13846153846153847,-0.8153846153846154,1.9314902547137078
DolniVestonice1,9.6,46.85,5.025,401.9,72.05,108.95,331.4,3.05,2.4,17.485,36.3,29.805,63.65,1.89,4.944999999999999,52.2,5.2,53.35,1.455,41.85,-0.165,-1.895,1.938330126922961
DolniVestonice1_10,22.0,94.0,4.3,1672.0,75.0,216.0,774.0,3.0,2.0,29.1,30.0,65.2,69.0,2.2,11.7,53.0,11.3,51.0,1.0,47.0,0.2,-2.6,1.87650461784339
GrubKranawetberg,5.08,27.39,5.724,121.42,69.84,63.54,179.75,3.3,2.76,12.318,44.87,15.520999999999999,56.05,1.379,2.997,60.9,2.593,49.75,1.73,46.82,-0.099,-0.309,1.9386593985210074
Milovice1,8.352941176470589,40.11764705882353,5.023529411764706,302.5882352941176,71.94117647058823,92.52941176470588,277.05882352941177,3.235294117647059,2.6470588235294117,16.605882352941176,40.88235294117647,23.894117647058824,59.294117647058826,1.6058823529411765,4.711764705882352,54.88235294117647,4.076470588235294,49.8235294117647,1.188235294117647,44.8235294117647,-0.07058823529411766,-0.9588235294117647,1.9162041178418028
Pavlov1,5.543859649122807,21.70175438596491,3.936842105263158,99.57894736842105,69.2280701754386,52.75438596491228,182.73684210526315,3.43859649122807,2.8947368421052633,10.805263157894736,48.98245614035088,11.380701754385965,52.45614035087719,1.2105263157894737,3.46140350877193,63.473684210526315,2.545614035087719,44.40350877192982,7.605263157894737,59.0,0.06140350877192982,-0.1385964912280702,1.9466627001906225
Petrkovice1a,8.25,36.75,5.4125,276.625,66.5,86.75,274.0,3.75,2.25,13.5,34.75,23.775000000000002,66.0,2.075,5.3500000000000005,77.25,3.45,32.875,5.25,40.375,0.0875,-1.0875,1.93642373375647
Predmosti1b,10.133333333333333,43.733333333333334,4.48,355.46666666666664,68.53333333333333,102.46666666666667,320.93333333333334,3.2666666666666666,2.2666666666666666,17.566666666666666,39.266666666666666,26.653333333333332,60.8,1.76,5.88,58.4,4.666666666666667,45.266666666666666,2.6933333333333334,43.6,0.03333333333333333,-1.2266666666666666,1.9307029119434935
Willendorf5,3.8,22.2,5.906666666666666,76.26666666666667,73.33333333333333,51.333333333333336,144.93333333333334,3.7333333333333334,3.0,11.106666666666666,49.333333333333336,11.66,52.4,1.1266666666666665,2.966666666666667,75.86666666666666,1.2933333333333332,35.86666666666667,5.453333333333333,47.4,0.08666666666666666,-0.33999999999999997,1.9322842304176433
Willendorf6,7.0,45.0,6.32,262.6,70.4,102.2,248.2,2.8,2.2,18.1,36.2,27.32,64.0,2.52,3.4,48.6,4.159999999999999,58.6,1.46,38.0,0.019999999999999983,-0.58,1.9404441347623842
Willendorf7,3.75,29.5,7.925,107.25,72.0,68.0,156.25,3.5,2.25,12.05,39.5,17.95,60.75,1.6749999999999998,2.95,79.75,1.65,43.5,2.175,38.25,0.125,-0.3,1.908264879019835
Willendorf8,4.75,26.5,6.025,116.0,73.5,63.25,167.25,3.75,2.75,11.325,43.0,15.575,57.75,1.375,3.85,75.75,1.525,40.0,4.05,44.75,0.049999999999999996,-0.5,1.89192307966076
Willendorf9,8.625,37.75,4.9125,276.25,67.25,89.375,286.875,3.125,2.875,17.6,46.625,20.5125,53.0,1.325,4.75,58.25,4.35,50.875,1.2875,50.125,0.0875,-1.0375,1.94254640201893
